번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트,,,,
16,35760,CJ오쇼핑,106002,텔레비전 방송업,6215518,31077590000,5000,원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13,2116,,,,
17,97950,CJ제일제당,31007,기타 식품 제조업,13161898,72446655000,5000,원(KRW),726-8114,서울특별시 중구  동호로 330,2116,,,,
18,51500,CJ프레시웨이,74603,음·식료품 및 담배 도매업,11871586,11871586000,1000,원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32,2116,,,,
19,37560,CJ헬로비전,106002,텔레비전 방송업,77446865,193617162500,2500,원(KRW),02-1855-1000,"서울특별시 양천구 목동서로 159-1 (목동, 13층)",2116,,,,
20,58820,CMG제약,32102,의약품 제조업,108707244,54353622000,500,원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2116,,,,
21,23460,CNH,116402,투자기관,37200000,93000000000,2500,원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2116,,,,
22,65770,CS,32604,통신 및 방송 장비 제조업,17932215,8966107500,500,원(KRW),031-622-3200,"경기도 성남시 분당구  판교로228번길 15  삼평동, 판교세븐벤처밸리1 씨에스동",2116,,,,
23,83660,CSA 코스믹,32202,플라스틱제품 제조업,19205147,9602573500,500,원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,2116,,,,
24,590,CS홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",1154482,5772410000,5000,원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),2116,,,,
25,139130,DGB금융지주,116409,기타 금융업,169053154,845265770000,5000,원(KRW),537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,2116,,,,
26,68790,DMS,32902,특수 목적용 기계 제조업,22547487,11273743500,500,원(KRW),031-8031-1133,경기도 화성시 팔탄면 터넉골로 211,2116,,,,
27,4840,DRB동일,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",18510000,9255000000,500,원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28,2116,,,,
28,155660,DSR,31309,기타 섬유제품 제조업,16000000,8000000000,500,원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7,2116,,,,
29,69730,DSR제강,32401,1차 철강 제조업,14400000,7200000000,500,원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15,2116,,,,
30,17940,E1,74607,기타 전문 도매업,6860000,34300000000,5000,원(KRW),02-3441-4114,"서울특별시 강남구  영동대로 517 아셈타워 13,14층",2116,,,,
31,37370,EG,74607,기타 전문 도매업,7500000,7500000000,1000,원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459,2116,,,,
32,79190,EMW,32604,통신 및 방송 장비 제조업,27870149,13935074500,500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",2116,,,,
33,7700,F&F,31401,봉제의복 제조업,15400000,7700000000,500,원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩)",2116,,,,
34,130500,GH신소재,31309,기타 섬유제품 제조업,7000000,3500000000,500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54,2116,,,,
35,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,61855670,30927835000,500,원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,2116,,,,
36,32860,GMR 머티리얼즈,53803,금속 및 비금속 원료 재생업,59957450,29978725000,500,원(KRW),02-3452-8449,충청남도 아산시 인주면 인주산단로 65,2116,,,,
37,900290,GRT,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",67375000,934163845,0,홍콩달러(HKD),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong",2116,,,,
38,78930,GS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",92915378,473501020000,5000,원(KRW),-,서울특별시 강남구 논현로 508,2116,,,,
39,83450,GST,32902,특수 목적용 기계 제조업,9317745,4658872500,500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13,2116,,,,
40,6360,GS건설,64101,건물 건설업,71000000,355000000000,5000,원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,2116,,,,
41,1250,GS글로벌,74608,상품 종합 도매업,82533764,206334410000,2500,원(KRW),02-2270-8114,서울특별시 강남구 논현로 508 GS강남타워,2116,,,,
42,7070,GS리테일,74701,종합 소매업,77000000,77000000000,1000,원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679),2116,,,,
43,28150,GS홈쇼핑,106002,텔레비전 방송업,6562500,32812500000,5000,원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),2116,,,,
44,78150,HB테크놀러지,32902,특수 목적용 기계 제조업,77158440,38579220000,500,원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87,2116,,,,
45,1500,HMC투자증권,116601,금융지원 서비스업,29337111,146685555000,5000,원(KRW),02-3787-2114,서울특별시 영등포구  국제금융로2길 32,2116,,,,
46,36640,HRS,32003,합성고무 및 플라스틱 물질 제조업,16354800,8177400000,500,원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7,2116,,,,
47,225430,IBKS제3호스팩,116601,금융지원 서비스업,4500000,450000000,100,원(KRW),02-6915-5342,"서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) &nbsp",2116,,,,
48,254120,IBKS제5호스팩,116601,금융지원 서비스업,4500000,450000000,100,원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩)",2116,,,,
49,252500,IBKS지엠비스팩,116601,금융지원 서비스업,5315000,531500000,100,원(KRW),02-6915-5357,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩)",2116,,,,
50,95340,ISC,32602,전자부품 제조업,12957132,6478566000,500,원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",2116,,,,
51,99520,ITX엠투엠,32605,영상 및 음향기기 제조업,14113383,7056691500,500,원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,2116,,,,
52,175330,JB금융지주,116409,기타 금융업,155439423,777197115000,5000,원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566,2116,,,,
53,234080,JW생명과학,32102,의약품 제조업,7917277,39586385000,5000,원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28,2116,,,,
54,67290,JW신약,32102,의약품 제조업,39044958,19522479000,500,원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477,2116,,,,
55,1060,JW중외제약,32102,의약품 제조업,18742676,47458110000,2500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477,2116,,,,
56,96760,JW홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",59513051,29756525500,500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477,2116,,,,
57,35900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,34043012,17021506000,500,원(KRW),02-6347-0163,서울특별시 강남구  도산대로 537 운촌빌딩 3층,2116,,,,
58,105560,KB금융,116409,기타 금융업,418111537,2090557685000,5000,원(KRW),02-2073-7114,서울특별시 중구  남대문로 84,2116,,,,
59,2550,KB손해보험,116501,보험업,60000000,30000000000,500,원(KRW),-1544-0114,서울특별시 강남구 테헤란로 117 LIG손해보험,2116,,,,
60,24120,KB오토시스,33003,자동차 부품 제조업,11500000,5750000000,500,원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24,2116,,,,
61,21320,KCC건설,64101,건물 건설업,21400000,107000000000,5000,원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설,2116,,,,
62,36670,KCI,32004,기타 화학제품 제조업,11270000,5635000000,500,원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7,2116,,,,
63,9440,KC그린홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",22434980,11217490000,500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층,2116,,,,
64,112190,KC산업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",5026666,2513333000,500,원(KRW),031-883-8684,경기도 여주시 가남읍 가남로 465,2116,,,,
65,119650,KC코트렐,32901,일반 목적용 기계 제조업,13000000,6500000000,500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층,2116,,,,
66,44180,KD건설,64101,건물 건설업,252486194,25248619400,100,원(KRW),031-491-8577,경기도 안산시 단원구 광덕서로 102 406-3호,2116,,,,
67,92220,KEC,32601,반도체 제조업,89047384,44523692000,500,원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5,2116,,,,
68,151860,KG ETS,43503,"증기, 냉온수 및 공기조절 공급업",36000000,20051860000,500,원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),2116,,,,
69,109070,KGP,31702,"골판지, 종이 상자 및 종이 용기 제조업",64275865,32137932500,500,원(KRW),031-627-9322,경기도 용인시 처인구  이동면 백옥대로 563,2116,,,,
70,46440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,20711421,10355710500,500,원(KRW),(02)2192-2000,"경기도 성남시 분당구  대왕판교로 660 삼평동, 유스페이스1 에이-5층",2116,,,,
71,35600,KG이니시스,105802,소프트웨어 개발 및 공급업,26580081,13290040500,500,원(KRW),(02)3430-5913,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 5층,2116,,,,
72,1390,KG케미칼,32001,기초화학물질 제조업,11576968,60193085000,5000,원(KRW),02-2680-4114,울산광역시 울주군 온산읍 당월로 322,2116,,,,
73,60720,KH바텍,32602,전자부품 제조업,20000000,10000000000,500,원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍,2116,,,,
74,1940,KISCO홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",3695276,18476380000,5000,원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주),2116,,,,
75,83470,KJ프리텍,32202,플라스틱제품 제조업,21009323,10504661500,500,원(KRW),031-230-6903,경기도 화성시  반월남길 77 (주)케이제이프리텍,2116,,,,
76,122450,KMH,106002,텔레비전 방송업,13473695,6736847500,500,원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,2116,,,,
77,52900,KMH하이텍,32202,플라스틱제품 제조업,43755258,21877629000,500,원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티,2116,,,,
78,58400,KNN,106002,텔레비전 방송업,132429720,66214860000,500,원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워,2116,,,,
79,83420,KPX그린케미칼,32004,기타 화학제품 제조업,20000000,10000000000,500,원(KRW),041-661-5000,충남 서산시 대산읍 독곳리 411-13,2116,,,,
80,114450,KPX생명과학,32101,기초 의약물질 및 생물학적 제제 제조업,15000000,7500000000,500,원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84,2116,,,,
81,25000,KPX케미칼,32001,기초화학물질 제조업,4840000,24200000000,5000,원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩,2116,,,,
82,92230,KPX홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",4224646,21123230000,5000,원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층,2116,,,,
83,40,KR모터스,33109,그외 기타 운송장비 제조업,176129474,88064737000,500,원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28,2116,,,,
84,44450,KSS해운,85001,해상 운송업,23185880,11592940000,500,원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층,2116,,,,
85,30210,KTB투자증권,116601,금융지원 서비스업,60314092,301570460000,5000,원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩,2116,,,,
86,36030,KTH,106102,전기통신업,35715022,35715022000,1000,원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워,2116,,,,
87,58850,KTcs,106309,기타 정보 서비스업,42685000,23842500000,500,원(KRW),042-604-5138,대전광역시 서구 갈마로 160,2116,,,,
88,43610,KT뮤직,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",41813833,20906916500,500,원(KRW),02-3282-2600,서울시 강남구 영동대로106길 17,2116,,,,
89,60370,KT서브마린,64203,전기 및 통신 공사업,21900000,21900000000,1000,원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42,2116,,,,
90,93050,LF,31401,봉제의복 제조업,29240000,146200000000,5000,원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동),2116,,,,
91,3550,LG,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",172557131,879359040000,5000,원(KRW),02-3773-5114,서울특별시 영등포구  여의대로 128,2116,,,,
92,34220,LG디스플레이,32602,전자부품 제조업,357815700,1789078500000,5000,원(KRW),02-3777-5114,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),2116,,,,
93,1120,LG상사,74601,상품 중개업,38760000,193800000000,5000,원(KRW),02-3773-1114,서울특별시 영등포구  여의대로 128 LG트윈타워 동관,2116,,,,
94,68870,LG생명과학,32102,의약품 제조업,16576990,84066030000,5000,원(KRW),02-3773-1114,서울특별시 종로구  새문안로 58,2116,,,,
95,51900,LG생활건강,32004,기타 화학제품 제조업,15618197,88589470000,5000,원(KRW),02-3773-5114,서울특별시 종로구  새문안로 58,2116,,,,
96,32640,LG유플러스,106102,전기통신업,436611361,2573969175000,5000,원(KRW),02-3773-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,2116,,,,
97,11070,LG이노텍,32602,전자부품 제조업,23667107,118335535000,5000,원(KRW),02-3777-1114,서울특별시 중구 한강대로 416 서울스퀘어 20층,2116,,,,
98,66570,LG전자,32604,통신 및 방송 장비 제조업,163647814,904169030000,5000,원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 LG트윈타워,2116,,,,
99,108670,LG하우시스,32202,플라스틱제품 제조업,8967670,50000000000,5000,원(KRW),3777-1114,서울특별시 영등포구 국제금융로 10 국제금융센터(One IFC),2116,,,,
100,51910,LG화학,32001,기초화학물질 제조업,66271100,369500105000,5000,원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128,2116,,,,
101,79550,LIG넥스원,32502,무기 및 총포탄 제조업,22000000,110000000000,5000,원(KRW),1644 - 2005,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),2116,,,,
102,6260,LS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",32200000,161000000000,5000,원(KRW),02-2189-9988,서울특별시 강남구 영동대로 517 아셈타워 아셈타워 21층,2116,,,,
103,680,LS네트웍스,74608,상품 종합 도매업,78803016,394015080000,5000,원(KRW),02-799-7114,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",2116,,,,
104,10120,LS산전,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",30000000,150000000000,5000,원(KRW),02-2034-4237,경기도 안양시 동안구  엘에스로 127 LS타워,2116,,,,
105,159910,MBK,32001,기초화학물질 제조업,64946831,6494683100,100,원(KRW),031-731-5400,경기도 성남시 중원구  갈마치로 176,2116,,,,
106,86960,MDS테크,105802,소프트웨어 개발 및 공급업,8825608,4843225000,500,원(KRW),031-627-3000,경기도 성남시 분당구 대왕판교로 644번길 49,,,,,
107,23150,MH에탄올,31101,알콜음료 제조업,7378526,4596763000,500,원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25,2116,,,,
108,65150,MPK,74603,음·식료품 및 담배 도매업,80808407,8080840700,100,원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,2116,,,,
109,35420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",32962679,16481339500,500,원(KRW),1588-3830,경기도 성남시 분당구  불정로 6,2116,,,,
110,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",27406106,13703053000,500,원(KRW),02-3490-9300,"서울특별시 강남구 언주로 726 (논현동, 8층)",2116,,,,
111,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업,19565025,9782512500,500,원(KRW),1544-6859,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,2116,,,,
112,60250,NHN한국사이버결제,106309,기타 정보 서비스업,18074243,9037121500,500,원(KRW),(02)2108-1000,서울특별시 구로구  디지털로33길 28 우림이-비즈센터 508호,2116,,,,
113,5940,NH투자증권,116601,금융지원 서비스업,281408887,1531275030000,5000,원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩,2116,,,,
114,34310,NICE,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",37882300,18941150000,500,원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4 (여의도동) 나이스그룹 3사옥,2116,,,,
115,30190,NICE평가정보,106309,기타 정보 서비스업,60714820,30357410000,500,원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4-,2116,,,,
116,8260,NI스틸,32401,1차 철강 제조업,28426850,14213425000,500,원(KRW),02-758-6789,서울특별시 중구 세종대로 23 창화빌딩 남대문로5가,2116,,,,
117,10060,OCI,32001,기초화학물질 제조업,23849371,127246855000,5000,원(KRW),02-727-9500,서울특별시 중구  소공로 94 OCI 빌딩,2116,,,,
118,24940,PN풍년,32509,기타 금속가공제품 제조업,10000000,5000000000,500,원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620,2116,,,,
119,91340,S&K폴리텍,32602,전자부품 제조업,8356445,4178222500,500,원(KRW),031-432-8061,경기 안산시 단원구 성곡동 718-1 시화공단 4바 302호,2116,,,,
120,100840,S&TC,32901,일반 목적용 기계 제조업,7084612,3542306000,500,원(KRW),055-212-6500,경상남도 창원시 성산구  완암로 12,2116,,,,
121,64960,S&T모티브,33003,자동차 부품 제조업,14623136,73115680000,5000,원(KRW),051-509-2114,부산광역시 기장군  철마면 여락송정로 363,2116,,,,
122,3570,S&T중공업,33003,자동차 부품 제조업,32473439,83683597500,2500,원(KRW),055-280-5000,경상남도 창원시 성산구  남면로 599,2116,,,,
123,36530,S&T홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",15830105,8115052500,500,원(KRW),02-3279-5010,서울특별시 금천구  가산디지털1로 134,2116,,,,
124,10950,S-Oil,31902,석유 정제품 제조업,112582792,291511797500,2500,원(KRW),02-3772-5151,서울특별시 마포구  백범로 192,2116,,,,
125,950110,SBI액시즈,105802,소프트웨어 개발 및 공급업,21365400,0,0,일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩",2116,,,,
126,19550,SBI인베스트먼트,116402,투자기관,162066575,83533287500,500,원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층,2116,,,,
127,34120,SBS,106002,텔레비전 방송업,18252582,91262910000,5000,원(KRW),02-2061-0006,서울특별시 양천구  목동서로 161,2116,,,,
128,101060,SBS미디어홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",139896190,69948095000,500,원(KRW),02-2113-5599,서울특별시 양천구  목동서로 161,2116,,,,
129,46140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",21463555,10731777500,500,원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층",2116,,,,
130,36120,SCI평가정보,147509,기타 사업지원 서비스업,35500000,17750000000,500,원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩,2116,,,,
131,99220,SDN,74605,기계장비 및 관련 물품 도매업,35168344,17584172000,500,원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층,2116,,,,
132,36540,SFA반도체,32601,반도체 제조업,139365674,69940137000,500,원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주),2116,,,,
133,40610,SG&G,33003,자동차 부품 제조업,34087196,17043598000,500,원(KRW),02-2105-6315,경기도 성남시 분당구 대왕판교로606번길 47 SG타워 7층,2116,,,,
134,49470,SGA,105802,소프트웨어 개발 및 공급업,84077403,42038701500,500,원(KRW),070-7308-9319,서울특별시 서초구  마방로2길 44,2116,,,,
135,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,25655936,2565593600,100,원(KRW),02-574-6856,서울특별시 서초구 마방로2길 44 양재동 오상빌딩 5층,2116,,,,
136,232290,SGA시스템즈,105802,소프트웨어 개발 및 공급업,6014763,3007381500,500,원(KRW),070-7410-9300,"대구광역시 동구 첨단로8길 20, 403호(신서동)",2116,,,,
137,4060,SG세계물산,74608,상품 종합 도매업,202424960,101212480000,500,원(KRW),02-850-5191,서울특별시 금천구  디지털로10길 35,2116,,,,
138,1380,SG충방,33003,자동차 부품 제조업,41747470,20873735000,500,원(KRW),070-5038-6334,충청남도 논산시  연무읍 양지길 45-18,2116,,,,
139,2360,SH에너지화학,32001,기초화학물질 제조업,111133730,55566865000,500,원(KRW),063-469-1500,전라북도 군산시 외항7길 20,2116,,,,
140,9160,SIMPAC,32902,특수 목적용 기계 제조업,29084925,14542462500,500,원(KRW),032-510-0044,인천광역시 부평구  부평북로 141 (주)SIMPAC,2116,,,,
141,90730,SIMPAC METALLOY,32401,1차 철강 제조업,13000000,6500000000,500,원(KRW),054-271-8700,경상북도 포항시 남구  괴동로 153,2116,,,,
142,34730,SK,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",70360297,15385286400,200,원(KRW),02-2121-5114,서울특별시 종로구 종로 26 SK주식회사,2116,,,,
143,207930,SK1호스팩,116601,금융지원 서비스업,5500000,550000000,100,원(KRW),02-3773-8373,서울특별시 영등포구 국제금융로2길 24,2116,,,,
144,219550,SK2호스팩,116601,금융지원 서비스업,6350000,635000000,100,원(KRW),02-3773-8373,서울특별시 영등포구 국제금융로2길 24 &nbsp,2116,,,,
145,232330,SK3호스팩,116601,금융지원 서비스업,3600000,360000000,100,원(KRW),02-3773-8373,서울특별시 영등포구 국제금융로2길 24 &nbsp,2116,,,,
146,11790,SKC,32004,기타 화학제품 제조업,37534555,187672775000,5000,원(KRW),031-250-7114,경기도 수원시 장안구 장안로309번길 84 (정자동),2116,,,,
147,57500,SKC 솔믹스,32602,전자부품 제조업,61494040,30747020000,500,원(KRW),(031)660-8400,경기도 평택시  경기대로 1043,2116,,,,
148,178920,SKC코오롱PI,32202,플라스틱제품 제조업,29366322,14683161000,500,원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27,2116,,,,
149,18670,SK가스,74607,기타 전문 도매업,8881471,44407355000,5000,원(KRW),02-6200-8114,경기도 성남시 분당구 판교로 332 ECO Hub,2116,,,,
150,1740,SK네트웍스,74607,기타 전문 도매업,248187647,620753237500,2500,원(KRW),02-2221-2114,서울특별시 중구  남대문로 90 5-3 SK네트웍스,2116,,,,
151,210980,SK디앤디,126801,부동산 임대 및 공급업,10770000,10770000000,1000,원(KRW),02-398-4700,경기도 성남시 분당구 판교로 332 (삼평동),2116,,,,
152,36490,SK머티리얼즈,32001,기초화학물질 제조업,10547673,5273836500,500,원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33,2116,,,,
153,52260,SK바이오랜드,32004,기타 화학제품 제조업,15000000,7500000000,500,원(KRW),041-550-7700,충청남도 천안시 동남구  병천면 송정리2길 59,2116,,,,
154,96770,SK이노베이션,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",92465564,468569950000,5000,원(KRW),02-2121-5114,서울특별시 종로구  종로 26,2116,,,,
155,1510,SK증권,116601,금융지원 서비스업,320117171,162014842500,500,원(KRW),02-3773-8245,서울특별시 영등포구 국제금융로2길 24,2116,,,,
156,66270,SK컴즈,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",43427530,21713765000,500,원(KRW),02-3432-1114,서울특별시 서대문구  통일로 87 임광빌딩,2116,,,,
157,6120,SK케미칼,32005,화학섬유 제조업,24303255,135601900000,5000,원(KRW),02-2008-2008,경기도 성남시 분당구 판교로 310,2116,,,,
158,17670,SK텔레콤,106102,전기통신업,80745711,44639473000,500,원(KRW),02-6100-2114,서울특별시 중구  을지로 65 (을자로2가),2116,,,,
159,660,SK하이닉스,32601,반도체 제조업,728002365,3657652050000,5000,원(KRW),031-630-4114,경기도 이천시  부발읍 경충대로 2091,2116,,,,
160,48550,SM C&C,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",69532552,34766276000,500,원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩,2116,,,,
161,5610,SPC삼립,31007,기타 식품 제조업,8629009,43145045000,5000,원(KRW),02-2276-5061,경기도 시흥시 공단1대로 101,2116,,,,
